GR_F17-04,GR_F15-A-01
11.20730686,57.21936035
10.35068417,55.26360321
10.45465183,52.11288071
11.00265217,48.41783524
11.22952557,46.35406876
11.44886208,45.27997589
11.83601379,44.84570694
12.22208118,45.40340042
12.61280632,46.82234573
12.75332165,48.90883255
12.27309036,51.11545563
11.3503418,53.84755325
10.5058012,57.08897781
10.14055824,58.57881546
10.32236576,58.25437164
10.81906796,56.10037994
11.29469776,53.29324341
11.55813789,50.19306183
11.78836727,47.9271698
12.22773457,47.18162155
12.68595791,47.4942627
12.79710197,47.14348984
12.44193554,47.88085175
11.70094776,49.78922272
10.90715218,51.45506287
10.55764961,52.33649826
10.62716007,52.25146866
10.7321415,51.70219421
10.76413059,50.31276703
10.74883843,48.28757477
10.66587925,48.29530716
10.67932701,47.87257004
10.86776352,46.14274216
10.93826675,45.26870346
10.66940117,44.11507797
10.31009579,42.59844971
10.32481194,43.81588745
10.86283779,45.80810547
11.76224613,47.40906143
12.72666931,50.1049881
13.33291531,52.25341797
13.33018303,51.61727524
13.03873062,50.61753082
12.9862299,49.38618469
13.38159084,48.48965836
13.97994804,49.37284088
14.32512665,50.70376205
14.17590618,50.04427338
13.75046349,48.71346283
13.42226791,47.22074127
13.34570694,46.43930054
13.4294548,45.97159195
13.55426884,45.86139679
13.66226101,46.06520462
13.72170258,46.16397476
13.74428368,46.61470032
13.68690109,47.88191223
13.42207146,48.5326004
13.11521912,48.34418869
13.20559406,48.14369965
13.75350475,48.41280365
14.36564255,49.50018311
14.63711548,50.94467163
14.34912205,51.07017517
13.5496912,49.5764885
12.60579681,47.94039917
11.99214268,46.9309082
11.91455746,47.10744476
12.29379082,48.38467407
13.04192448,49.76296997
13.91552734,50.13343811
14.42692375,49.24027252
14.27103806,47.66460037
13.57113552,46.23809433
12.71707726,45.42051315
12.03595161,45.33388519
11.81938458,46.18016434
12.18824482,48.0405159
12.81850529,50.70618057
13.45583248,53.24030685
14.21374416,54.61867523
15.0371685,54.57136536
15.66457748,53.42184448
15.90916252,51.49946213
15.57009506,50.31156158
