DEPTH,NPHI_F17-04,NPHI_F15-A-01
1932.8001,0.246973306,0.33332172
1932.9001,0.259663314,0.340341985
1933.0001,0.268903762,0.334631026
1933.1001,0.271567345,0.324186832
1933.2001,0.269298255,0.314654112
1933.3001,0.265677631,0.307973683
1933.4001,0.264089584,0.306396216
1933.5001,0.266204894,0.30929932
1933.6001,0.270418793,0.311501205
1933.7001,0.272636801,0.309692293
1933.8001,0.269938707,0.310363293
1933.9001,0.263549417,0.316334039
1934.0001,0.257322222,0.319134861
1934.1001,0.252232105,0.317688853
1934.2001,0.245586649,0.312347442
1934.3001,0.238290295,0.300760448
1934.4001,0.234678611,0.297870427
1934.5001,0.235259414,0.312987238
1934.6001,0.237771481,0.330343545
1934.7001,0.240502268,0.342393875
1934.8001,0.241649851,0.348974764
1934.9001,0.240370289,0.342482179
1935.0001,0.237463906,0.330003023
1935.1001,0.234202266,0.327878356
1935.2001,0.231355846,0.336440593
1935.3001,0.228612736,0.345891178
1935.4001,0.225271344,0.348479748
1935.5001,0.223497778,0.34132877
1935.6001,0.225871623,0.325781316
1935.7001,0.229861006,0.308636606
1935.8001,0.231840015,0.300795198
1935.9001,0.231364474,0.303315759
1936.0001,0.229515851,0.3091546
1936.1001,0.226178333,0.317377061
1936.2001,0.223240942,0.324935794
1936.3001,0.223856375,0.324191093
1936.4001,0.228036806,0.316758841
1936.5001,0.232248783,0.308101654
1936.6001,0.23481144,0.299162775
1936.7001,0.239894912,0.293092221
1936.8001,0.24481608,0.296854794
1936.9001,0.243304521,0.313890636
1937.0001,0.239815489,0.332079232
1937.1001,0.235275552,0.340453655
1937.2001,0.228661612,0.342852503
1937.3001,0.228584081,0.338111073
1937.4001,0.237396181,0.323568314
1937.5001,0.248827577,0.309734315
1937.6001,0.257033795,0.301288694
1937.7001,0.260553479,0.293270081
1937.8001,0.261785775,0.286545873
1937.9001,0.263710052,0.28478694
1938.0001,0.266927779,0.28849411
1938.1001,0.268539399,0.291027904
1938.2001,0.270056486,0.292891562
1938.3001,0.274923146,0.301951647
1938.4001,0.28044048,0.311714917
1938.5001,0.28558284,0.315871447
1938.6001,0.291919649,0.317318261
1938.7001,0.298806101,0.313876867
1938.8001,0.302297503,0.3075414
1939.0001,0.296305388,0.310919344
1939.1001,0.290170133,0.3123025
1939.2001,0.282252938,0.316691399
1939.3001,0.274591655,0.321817488
1939.4001,0.271758825,0.322340965
1939.5001,0.273435324,0.318693668
1939.6001,0.274900526,0.310540706
1939.7001,0.273419499,0.30119139
1941.0001,0.260531545,0.302805245
1941.1001,0.258974552,0.314861715
1941.2001,0.262094885,0.318552375
1941.5001,0.28344515,0.315187931
1941.6001,0.282830626,0.328785449
1941.7001,0.278840005,0.342731208
1941.8001,0.274177641,0.349631518
1941.9001,0.2696006,0.342867255
1942.0001,0.265486121,0.326836288
1942.1001,0.261262238,0.31287083
1942.2001,0.258063197,0.3038719
1942.3001,0.258336723,0.298901826
1942.4001,0.26326409,0.3008461
1942.5001,0.271729529,0.30690667
1942.6001,0.279177547,0.311760604
1942.7001,0.28024894,0.31372118
1942.8001,0.274298966,0.312815666
1942.9001,0.265962333,0.309884757
1943.0001,0.260590375,0.306098163
