DEPTH,RHOB_F17-04,RHOB_F15-A-01
1935.6001,2.386710405,2.199694395
1935.7001,2.397777081,2.20000267
1935.8001,2.405395508,2.196254969
1935.9001,2.410927534,2.189683199
1936.0001,2.417527199,2.181585312
1936.1001,2.426628828,2.177109003
1936.2001,2.43567276,2.180742264
1936.3001,2.440177441,2.191725969
1936.4001,2.436343908,2.206758976
1936.5001,2.424614668,2.221389532
1936.6001,2.409107447,2.233967781
1936.7001,2.393023968,2.241325617
1936.8001,2.382185698,2.242632628
1936.9001,2.380182743,2.242282391
1937.0001,2.383862495,2.242318869
1937.1001,2.389179707,2.243051052
1937.2001,2.393604279,2.245479345
1937.3001,2.389435291,2.248372316
1937.4001,2.376069307,2.249039412
1937.5001,2.361242771,2.249823809
1937.6001,2.347279072,2.25211668
1937.7001,2.335037947,2.254694939
1937.8001,2.327633381,2.25721097
1937.9001,2.324050665,2.259399176
1938.0001,2.324815273,2.260892868
1938.1001,2.333076716,2.261602163
1938.2001,2.339746952,2.261255264
1938.3001,2.338457346,2.259810686
1938.4001,2.334716797,2.256205559
1938.5001,2.330876827,2.249440193
1938.6001,2.328380346,2.24428153
1938.7001,2.33228612,2.242981434
1938.8001,2.337617874,2.24869895
1939.0001,2.32615447,2.258799791
1939.1001,2.316749334,2.264843941
1939.2001,2.313920736,2.264499426
1939.3001,2.315405607,2.258866549
1939.4001,2.31884861,2.253952742
1939.5001,2.324167967,2.244499922
1939.6001,2.331587553,2.231581688
1939.7001,2.342918396,2.225318909
1941.0001,2.293669462,2.246310234
1941.1001,2.290548086,2.247512341
1941.2001,2.291227341,2.252000809
1941.5001,2.314584494,2.27316618
1941.6001,2.322006464,2.269147396
1941.7001,2.329797983,2.251244783
1941.8001,2.336869717,2.233006001
1941.9001,2.340281487,2.217273951
1942.0001,2.339179277,2.208577633
1942.1001,2.336192131,2.204469442
1942.2001,2.335035086,2.204750776
1942.3001,2.336861134,2.208325863
1942.4001,2.340189695,2.212173224
1942.5001,2.342932224,2.215987682
1942.6001,2.342662334,2.219802618
1942.7001,2.337035656,2.223494291
1942.8001,2.327216864,2.226405382
1942.9001,2.317922354,2.22731328
1943.0001,2.313081741,2.226219416
1943.4001,2.326155663,2.210397959
1943.5001,2.331464768,2.210988522
1943.6001,2.329932451,2.213291645
1943.7001,2.323449612,2.215115547
1943.8001,2.317456961,2.213825226
1943.9001,2.310797691,2.208283186
1944.0001,2.30438447,2.200424433
1944.1001,2.303761721,2.194250584
1944.2001,2.305695057,2.190065861
1944.3001,2.301525354,2.189706564
1944.4001,2.289214373,2.194390059
1944.5001,2.273206949,2.199698687
1944.6001,2.259019136,2.202523708
1944.7001,2.250570297,2.203885555
1944.8001,2.249446154,2.203540564
1944.9001,2.253790617,2.201781988
1945.0001,2.259654999,2.200078964
1945.1001,2.266209602,2.1989007
1945.2001,2.276989222,2.198876858
1945.3001,2.294200897,2.200843096
1945.8001,2.305682659,2.203804016
1945.9001,2.302863836,2.206460238
1946.0001,2.306996822,2.208679199
1946.1001,2.314181805,2.208607197
1946.2001,2.319533825,2.205248594
1946.3001,2.320446014,2.199912548
1946.4001,2.317621708,2.193916082
1946.5001,2.315315485,2.188656092
1946.6001,2.316944361,2.185686112
1946.7001,2.323037863,2.183299542
1946.8001,2.33471632,2.181049109
1946.9001,2.351176739,2.183838844
1947.0001,2.366289854,2.190838814
1947.1001,2.373008251,2.196543932
1947.2001,2.373105049,2.19961381
1947.3001,2.370301008,2.196447849
1947.7001,2.365027189,2.184720993
1947.8001,2.370627642,2.167615652
1947.9001,2.373217344,2.149022579
1948.0001,2.36599803,2.130650282
1948.1001,2.349946022,2.105380058
1948.2001,2.333034992,2.072898865
1948.3001,2.32091713,2.043544292
1948.4001,2.316347599,2.023803949
1948.5001,2.320378065,2.019551754
1948.6001,2.330178261,2.028007031
1949.1001,2.362164497,2.045136213
1949.2001,2.365524769,2.065061569
1949.3001,2.365038633,2.082978487
1949.4001,2.35903883,2.097895145
1949.5001,2.350144863,2.109844446
1949.6001,2.341148853,2.121646881
1949.7001,2.334415674,2.130372286
1949.8001,2.333014488,2.131931782
1949.9001,2.340348482,2.131441832
1950.0001,2.35291338,2.129168034
1950.1001,2.363894939,2.12586236
1950.2001,2.369594336,2.12555933
1950.3001,2.367076635,2.129718304
