DEPTH,DT,GR,ILD,NPHI,RHOB,WELL,,DEPTH,DT,GR,ILD,NPHI,RHOB,WELL
1937.0001,75.50868988,10.63986874,0.691957057,0.239815489,2.383862495,F17-04,,1937,91.03437805,48.67590714,0.462043136,0.332079232,2.242318869,F15-A-01
1937.1001,76.24629974,10.63334751,0.6790905,0.235275552,2.389179707,F17-04,,1937.1,90.7246933,47.96089172,0.470091432,0.340453655,2.243051052,F15-A-01
1937.2001,76.98442078,10.53722858,0.666554451,0.228661612,2.393604279,F17-04,,1937.2,90.28800201,46.6951294,0.477402926,0.342852503,2.245479345,F15-A-01
1937.3001,77.53430939,10.50762463,0.654372215,0.228584081,2.389435291,F17-04,,1937.3,89.90543366,46.40034103,0.483811081,0.338111073,2.248372316,F15-A-01
1937.4001,77.82995606,10.66882992,0.635182798,0.237396181,2.376069307,F17-04,,1937.4,89.64820099,48.52184677,0.488465846,0.323568314,2.249039412,F15-A-01
1937.5001,77.91943359,10.81636334,0.614073455,0.248827577,2.361242771,F17-04,,1937.5,89.48868561,50.81899643,0.493199885,0.309734315,2.249823809,F15-A-01
1937.6001,77.9101944,10.92256069,0.591005743,0.257033795,2.347279072,F17-04,,1937.6,89.43277741,52.23662186,0.498325855,0.301288694,2.25211668,F15-A-01
1937.7001,77.90547943,11.10017395,0.568491459,0.260553479,2.335037947,F17-04,,1937.7,89.423172,52.36730957,0.504559636,0.293270081,2.254694939,F15-A-01
1937.8001,77.98321533,11.09002972,0.546609521,0.261785775,2.327633381,F17-04,,1937.8,89.29538727,51.06720352,0.509115875,0.286545873,2.25721097,F15-A-01
1937.9001,78.12697601,10.86535645,0.52578795,0.263710052,2.324050665,F17-04,,1937.9,89.10959625,49.11262512,0.510077119,0.28478694,2.259399176,F15-A-01
1938.0001,78.30114746,10.68918514,0.50888586,0.266927779,2.324815273,F17-04,,1938,89.06333923,48.52340698,0.509208322,0.28849411,2.260892868,F15-A-01
1938.1001,78.60028076,10.43628216,0.493803829,0.268539399,2.333076716,F17-04,,1938.1,89.15057373,49.02165604,0.507458925,0.291027904,2.261602163,F15-A-01
1938.2001,79.0699234,10.25267029,0.480985582,0.270056486,2.339746952,F17-04,,1938.2,89.34401703,50.06557846,0.504575074,0.292891562,2.261255264,F15-A-01
1938.3001,79.6386795,10.57328415,0.466201216,0.274923146,2.338457346,F17-04,,1938.3,89.63208771,50.42326355,0.502429962,0.301951647,2.259810686,F15-A-01
1938.4001,80.2171936,11.20084095,0.451214671,0.28044048,2.334716797,F17-04,,1938.4,89.89997864,50.17108536,0.50042975,0.311714917,2.256205559,F15-A-01
1938.5001,80.62270355,11.59093761,0.437440962,0.28558284,2.330876827,F17-04,,1938.5,90.13929749,49.3944664,0.498186976,0.315871447,2.249440193,F15-A-01
1938.6001,80.60948944,11.48944569,0.426895201,0.291919649,2.328380346,F17-04,,1938.6,90.44321442,48.78989792,0.495944202,0.317318261,2.24428153,F15-A-01
1938.7001,80.17365265,10.93573666,0.417856067,0.298806101,2.33228612,F17-04,,1938.7,90.72493744,48.86452103,0.493198961,0.313876867,2.242981434,F15-A-01
1938.8001,79.56867218,10.24332619,0.409848601,0.302297503,2.337617874,F17-04,,1938.8,90.80870056,50.02960968,0.488392502,0.3075414,2.24869895,F15-A-01
1939.0001,78.97364044,10.12371445,0.400534123,0.296305388,2.32615447,F17-04,,1939,90.36499786,52.99928284,0.474115998,0.310919344,2.258799791,F15-A-01
1939.1001,79.19194794,10.77393723,0.401495338,0.290170133,2.316749334,F17-04,,1939.1,90.23703766,55.84481812,0.464183599,0.3123025,2.264843941,F15-A-01
1939.2001,79.66122437,11.38794899,0.403057158,0.282252938,2.313920736,F17-04,,1939.2,90.20617676,56.90939713,0.453651756,0.316691399,2.264499426,F15-A-01
1939.3001,80.32048035,11.74670601,0.40552932,0.274591655,2.315405607,F17-04,,1939.3,90.26809692,57.19203568,0.443047017,0.321817488,2.258866549,F15-A-01
1939.4001,80.95059967,11.76903439,0.412901908,0.271758825,2.31884861,F17-04,,1939.4,90.46278381,57.38484955,0.435037196,0.322340965,2.253952742,F15-A-01
1939.5001,81.20918274,11.45302963,0.423410535,0.273435324,2.324167967,F17-04,,1939.5,90.78287506,55.53690338,0.428872496,0.318693668,2.244499922,F15-A-01
1939.6001,81.01483917,11.0059576,0.436141312,0.274900526,2.331587553,F17-04,,1939.6,91.21135712,53.18270493,0.424132735,0.310540706,2.231581688,F15-A-01
1939.7001,80.53141022,10.56656742,0.447356612,0.273419499,2.342918396,F17-04,,1939.7,91.62856293,53.29931259,0.420608461,0.30119139,2.225318909,F15-A-01
1941.0001,79.64202881,10.93200111,0.467206389,0.260531545,2.293669462,F17-04,,1941,89.83340454,51.929142,0.516198099,0.302805245,2.246310234,F15-A-01
1941.1001,78.08599091,10.49211311,0.44958511,0.258974552,2.290548086,F17-04,,1941.1,89.50132752,54.31408691,0.525168538,0.314861715,2.247512341,F15-A-01
1941.2001,77.22524262,10.10430813,0.432745546,0.262094885,2.291227341,F17-04,,1941.2,89.20330811,55.47328949,0.526594997,0.318552375,2.252000809,F15-A-01
1941.5001,79.07675171,10.03975868,0.39988476,0.28344515,2.314584494,F17-04,,1941.5,89.3135376,49.98013687,0.508768976,0.315187931,2.27316618,F15-A-01
1941.6001,80.17137909,10.34932423,0.394942671,0.282830626,2.322006464,F17-04,,1941.6,89.59868622,49.12660599,0.498900771,0.328785449,2.269147396,F15-A-01
1941.7001,81.66642761,10.68099403,0.394628942,0.278840005,2.329797983,F17-04,,1941.7,90.19955444,48.91605377,0.490249842,0.342731208,2.251244783,F15-A-01
1941.8001,82.62549591,10.94802284,0.401423097,0.274177641,2.336869717,F17-04,,1941.8,90.80080414,50.74928665,0.485040337,0.349631518,2.233006001,F15-A-01
1941.9001,82.50917816,11.12110615,0.411158741,0.2696006,2.340281487,F17-04,,1941.9,91.10530853,52.27891922,0.481134266,0.342867255,2.217273951,F15-A-01
1942.0001,81.87841034,11.2299881,0.421410292,0.265486121,2.339179277,F17-04,,1942,91.11644745,51.96532822,0.476968885,0.326836288,2.208577633,F15-A-01
1942.1001,81.30140686,11.30350971,0.430592269,0.261262238,2.336192131,F17-04,,1942.1,91.12841797,51.45639801,0.473017871,0.31287083,2.204469442,F15-A-01
1942.2001,80.87841034,11.40084267,0.439474642,0.258063197,2.335035086,F17-04,,1942.2,91.08811188,51.24514771,0.469450146,0.3038719,2.204750776,F15-A-01
1942.3001,80.60235596,11.54794884,0.449726075,0.258336723,2.336861134,F17-04,,1942.3,90.87968445,51.37611008,0.467527568,0.298901826,2.208325863,F15-A-01
1942.4001,80.44103241,11.65252113,0.45878607,0.26326409,2.340189695,F17-04,,1942.4,90.55599976,50.76965714,0.466796994,0.3008461,2.212173224,F15-A-01
